abu+anfSal+412.090+S	7419	2053	1.128	2.515	6027	2467	-0.501	1.588
abu+anfSal+588.330+S	7973	2605	0.625	1.237	3123	3632	0.749	-0.587
abu+anfSal+62.684+S	6650	2458	1.954	5.975	3868	2979	0.173	-0.037
abu+antSar+348.307+S	8486	2143	0.732	3.453	5959	3529	-0.412	-0.618
abu+antSar+504.527+S	7976	2338	1.114	2.093	5133	3502	-0.178	-0.634
abu+antSar+632.930+S	7165	2431	1.863	5.025	4069	3270	0.129	-0.449
abu+Sad+692.644+S	7911	2486	0.735	1.733	4685	3504	0.089	-0.742
abu+Samt+503.099+S	7122	1959	1.453	5.546	4982	2969	-0.412	-0.241
abu+Samt+610.965+S	7587	2845	1.362	2.926	690	2023	3.329	11.689
abu+Samt+87.024+S	7156	2098	2.096	6.962	5833	2393	-0.494	2.803
alohali+anfSal+381.872+S	7185	2643	1.195	1.217	5708	2254	0.679	3.220
alohali+anfSal+558.682+S	6453	2225	1.127	1.486	4944	2224	0.062	1.780
alohali+anfSal+89.770+S	8115	2834	0.514	-0.464	5969	2939	0.199	0.688
alohali+antSar+426.544+S	7180	2247	1.082	1.432	5894	2211	0.063	2.418
alohali+antSar+681.508+S	7933	2519	0.487	-0.265	6391	2483	0.287	1.081
alohali+antSar+72.921+S	6958	1902	1.951	6.103	5966	2028	-0.486	4.225
alohali+Sad+785.321+S	6950	2489	0.938	-0.049	5717	1959	1.214	3.352
alohali+Samt+247.277+S	7784	3530	0.622	-0.587	3567	3336	0.882	0.870
alohali+Samt+484.043+S	6774	2592	1.336	1.923	3728	3009	0.309	-0.055
alohali+Samt+637.785+S	7241	1956	1.126	3.823	4950	3064	-0.363	-0.512
alotaiq+anfSal+234.582+S	7364	1928	1.107	2.709	5349	2981	-0.544	-0.115
alotaiq+anfSal+304.791+S	7031	2254	1.178	2.400	3931	3196	0.128	-0.743
alotaiq+anfSal+65.873+S	6815	2014	1.223	2.475	5285	2449	-0.442	1.167
alotaiq+antSar+253.991+S	6889	2125	1.362	2.672	5096	2653	-0.374	0.724
alotaiq+antSar+353.013+S	7594	2379	0.750	1.074	4970	3212	-0.098	-0.413
alotaiq+antSar+57.322+S	7032	1871	1.082	2.492	5717	2353	-0.633	1.523
alotaiq+Sad+506.994+S	7069	2517	1.342	3.287	2944	3211	0.677	-0.308
alotaiq+Samt+140.380+S	7331	1646	1.929	9.156	5042	3207	-0.549	-0.727
alotaiq+Samt+274.418+S	7339	2422	1.783	5.943	3870	3400	0.242	-0.609
alotaiq+Samt+336.023+S	6813	2466	2.064	4.789	4887	2694	-0.153	1.574
mohammed+anfSal+103.611+S	8907	2159	-0.002	-0.297	7647	2558	-0.434	0.896
mohammed+anfSal+378.245+S	9056	2479	0.186	-0.458	7290	3041	-0.365	0.519
mohammed+anfSal+563.999+S	9259	2124	-0.260	0.128	7877	2776	-0.641	0.653
mohammed+antSar+427.555+S	8921	1838	0.508	1.739	7885	2449	-1.038	2.652
mohammed+antSar+68.623+S	8099	2190	0.781	-0.270	7201	1933	0.794	2.166
mohammed+Sad+761.366+S	9782	2196	-0.838	-0.168	8439	2734	-0.368	-0.647
mohammed+Samt+232.504+S	9190	2445	0.045	-0.100	7439	3040	-0.358	0.335
mohammed+Samt+486.185+S	9866	2301	-0.268	0.496	8478	2833	-0.411	0.194
mohammed+Samt+54.789+S	9969	2237	-0.388	0.109	8651	2798	-0.514	0.299
naif1+anfSal+216.213+S	8372	3020	0.687	-0.277	5474	3449	0.148	0.104
naif1+anfSal+328.688+S	9196	3391	0.356	-0.637	5151	4027	0.396	-0.353
